G1.S;S;G2;G2.M;M.G1
NA;NA;NA;Gm28635;NA
NA;NA;NA;Zfp521;NA
NA;NA;NA;Rasgef1a;NA
NA;NA;NA;Dzip3;NA
NA;NA;NA;Hspa1l;NA
NA;NA;NA;Ppp1r10;NA
NA;NA;NA;Mzt1;NA
NA;NA;NA;Rnps1;NA
NA;NA;NA;Tsn;NA
NA;NA;NA;Igha;NA
NA;NA;NA;Arhgap19;NA
NA;NA;NA;Atxn1l;NA
NA;NA;NA;Rbm8a;NA
NA;NA;NA;Rbm8a2;NA
