status;family;pval;qval;gene_short_name;num_cells_expressed
OK;negbinomial;0.000101475872292834;0.000112028947126566;Car2;199
OK;negbinomial;1.16538053257812e-12;1.54547387551129e-12;Epha5;2843
OK;negbinomial;1.72655194376618e-236;2.00038679506243e-235;Eef1a1;7508
OK;negbinomial;1.36868647896465e-235;1.56059225511578e-234;E2f7;2055
OK;negbinomial;0.0655302347378789;0.0675359425442989;eYFP;4869
OK;negbinomial;0;0;Ly6h;5249
OK;negbinomial;5.40444584627255e-42;1.19207582381958e-41;Gm2694;789
OK;negbinomial;3.36523336276183e-49;8.03109401633637e-49;Rrm2;4817
OK;negbinomial;1.41403354536153e-123;7.63719872244136e-123;Ccdc67;537
OK;negbinomial;2.12442683974517e-66;6.28002721488456e-66;Dynll1;7495
OK;negbinomial;4.64356843262275e-35;9.36098220046963e-35;Neurod6;665
OK;negbinomial;0.000111295271824732;0.000122743761915198;Gas1;6340
OK;negbinomial;2.4508386723802e-160;1.74886004601965e-159;Ftl1;7508
OK;negbinomial;1.88314362068945e-52;4.71880756114623e-52;Vim;7503
OK;negbinomial;6.59849637074827e-100;2.82138088868304e-99;Hist3h2ba;6820
OK;negbinomial;1.26497401660802e-13;1.71017503500018e-13;Tpx2;3525
OK;negbinomial;0;0;Zfp503;2058
OK;negbinomial;5.80228840719564e-43;1.29306427275146e-42;Sfn;234
OK;negbinomial;0;0;Rps20;7508
OK;negbinomial;1.36847711381901e-67;4.10733729844006e-67;mt-Co2;7508
OK;negbinomial;1.76441856571598e-50;4.29155982970421e-50;Kcnq1ot1;6386
OK;negbinomial;1.8776113300084e-85;6.90486760438243e-85;Nrp1;800
OK;negbinomial;9.41175979456353e-58;2.50090534615098e-57;Ncam1;3067
OK;negbinomial;3.3300883727475e-95;1.35147654298886e-94;Nkd1;4686
OK;negbinomial;5.55359282534705e-15;7.71133539859722e-15;Cenpe;3413
OK;negbinomial;0;0;Itm2b;7096
OK;negbinomial;1.98446192890377e-54;5.0971578745979e-54;Fezf1;575
OK;negbinomial;0;0;mt-Nd4;7508
OK;negbinomial;4.33996483869965e-51;1.06765116751116e-50;Slc17a6;1851
OK;negbinomial;0;0;Rps8;7508
