spring1,spring2
-40.02592,935.8001
2151.67217,1622.21248
1076.54259,2099.48981
1062.0933,2083.67853
-1028.72174,1351.2005
-660.92916,1550.72235
2172.05409,1378.69464
1488.26135,1773.26596
1311.86848,1356.05616
-1054.28799,1460.69592
217.29597,1108.27184
760.39255,2851.79024
2838.83453,1136.36679
-446.44045,1491.68469
-663.71926,1085.23966
2340.55949,1656.77611
821.4281,3565.80149
1623.92116,2065.37286
788.75387,3917.90487
-831.60879,1343.53444
234.17036,3907.32974
-577.66907,1714.02312
2851.15577,567.02893
-298.11916,1201.45455
214.71376,3680.95005
-634.66421,1862.68437
1332.47027,1392.83397
1701.0673,1590.63912
-312.94054,900.21057
-367.90989,1614.29539
-939.8746,1892.45486
-546.85561,1201.49675
1807.1895,1995.42313
-1070.37796,1681.4048
1361.93394,2150.70695
1584.2768,2003.34847
-116.48109,1060.67004
1715.96341,1563.51989
2245.45852,1730.90874
117.5212,1031.99363
21.59734,1143.90931
-279.14183,962.00547
-659.85033,1185.68179
-360.18993,817.09544
2673.82298,1530.05321
-1111.90477,1559.51673
-816.88424,1262.8064
835.14681,3249.4352
-1002.89482,1847.71042
-287.16301,2001.77555
1536.43495,1580.83096
792.74735,4228.695
-842.93002,1572.51262
-317.99284,2013.04621
805.34859,1610.63922
1627.39267,1857.67394
-777.87828,1121.29558
189.65257,4028.21023
1823.69035,1956.10643
-1084.54523,1584.16701
2847.64727,595.55604
975.64796,2114.97447
1739.42471,1388.63844
-373.57095,820.62466
-200.22481,969.05867
1715.14094,1350.7542
-168.89245,869.05156
186.57644,4101.89298
815.9024,3625.28114
-1090.17139,1542.56553
-299.43863,1940.42317
410.57947,2909.28322
-730.23044,1734.34003
-207.48726,1986.26239
791.54552,3509.74596
2367.95605,1749.48853
986.27943,10.0577900000003
815.79104,3416.66321
1243.95624,1665.63211
-885.53369,1525.47645
-1040.53399,1429.05699
-912.30056,1536.0571
-1022.76503,1370.04414
1152.22914,1758.56767
2170.6591,1825.13216
536.95325,4334.04079
1714.27959,1821.44456
-494.59605,1130.41739
1157.62086,2092.65407
1419.29819,2086.55109
2400.5415,1800.52686
-423.42276,2019.93888
188.34931,2835.46579
2875.52164,858.65085
1922.36029,1976.44698
1684.5381,1455.12019
2330.50158,1599.89779
1774.31579,1564.22052
1654.67819,1964.01861
-764.85085,1349.12837
-258.02644,770.89518
649.49126,4479.08221
2311.05402,1798.12651
1265.89245,1436.34038
1745.41509,1657.05045
1865.86491,1356.3116
119.18238,2828.98119
352.89886,4422.3654
1069.19605,2098.32456
1480.71287,1762.26276
-64.21167,1046.33735
-1006.96947,1388.71088
-423.84041,1953.54459
226.75222,4357.69432
1708.28907,1764.01935
-306.35197,1955.75685
1675.12162,1935.66074
1679.75958,1430.15367
659.41866,3417.97205
1761.32866,1976.75689
1889.34294,1526.96797
1692.50153,1883.65009
-644.46337,1106.47556
-247.35762,830.34356
-168.37042,2039.70069
-593.57424,1875.99532
1307.56419,1924.8239
260.977,4234.96549
-678.03263,1290.17842
1125.62555,1570.47186
-596.56709,1448.67514
983.30895,15.4211400000004
561.85978,2725.89259
220.42984,3663.60292
-1035.87607,1810.38534
2258.65662,1548.63033
2756.39616,1406.20637
1620.00094,1967.58291
931.85624,2073.75441
1956.61049,1724.40273
229.81279,3153.61337
-119.96397,880.64408
-1011.11247,1659.93806
797.88636,4235.12377
1304.18053,2067.01881
1513.65171,1887.24897
1597.16378,1436.97998
718.97393,4335.54414
-1100.79128,1739.60632
2413.02107,1684.58271
-49.06672,1294.35541
-806.96338,1746.78271
280.47275,4386.05795
1355.85437,1910.76965
-595.82622,993.03666
-348.93532,1949.25359
-646.58779,1535.28696
890.48832,3857.41362
911.09958,2091.85051
333.35597,3203.02648
391.75787,4231.62666
2215.15903,1922.92855
1257.37632,1479.8713
1124.95733,2098.18304
778.70585,4290.24688
-894.72309,1864.99159
1754.78744,1766.38042
186.62656,3801.2179
-754.30321,1377.74816
1327.16808,1949.38545
1558.92801,2008.30982
-1064.59692,1851.03006
1001.73422,1815.77846
-638.52438,1833.19277
2804.45392,1224.76381
-959.83624,1825.02221
2874.75635,1016.14761
1243.61406,2095.179
-643.18168,1642.81137
-452.41627,885.59324
1656.49758,1895.98767
-148.7721,2128.46606
-394.02548,831.16575
1846.31966,1901.70803
1457.87967,1924.37265
2411.49826,1801.41725
818.30527,3326.81419
-572.85087,1013.22699
1781.70088,1326.69939
-664.89292,1423.71622
1418.66199,1530.11232
-275.36775,783.01752
-1014.93575,1342.83804
-1026.22397,1803.79903
-206.98027,796.86241
-816.57912,1945.46454
-1083.41642,1728.39284
207.78671,3999.63833
2178.38049,1723.70216
-850.61163,1599.53708
1752.11073,2020.71035
-974.83029,1314.35228
-495.79193,931.91051
161.9583,2970.25312
-186.71104,1319.52318
1792.19069,2025.65001
-1049.40067,1517.49876
278.57771,2717.22141
1525.77071,2069.16775
535.09689,4242.05143
54.42063,1042.24977
2891.19204,894.6065
1238.8887,1967.01325
-1100.99473,1699.01284
-581.36438,1069.59723
-257.60786,1886.20097
1507.72513,2042.57968
2126.06655,1495.46972
953.77502,2081.53094
-948.67106,1829.26936
-1041.13861,1639.96729
308.05632,4459.65878
2132.87092,1620.0631
224.82398,3257.1371
669.85179,3787.24171
811.71145,3576.57378
188.67763,3622.80704
1884.79589,1860.54112
1341.48413,1697.01388
1628.17243,1409.66315
-389.9741,1964.69921
1640.01047,1759.65559
